ID_ALUNO;ANO_INGRESSO;IE_2020;FASE_2020;PEDRA_2020;INDE_2020;IAA_2020;IEG_2020;DESTAQUE_IEG_2020;IDA_2020;DESTAQUE_IDA_2020;IPV_2020;DESTAQUE_IPV_2020;IPP_2020;IPS_2020;IAN_2020;PONTO_VIRADA_2020;IE_2021;FASE_2021;PEDRA_2021;INDE_2021;IAA_2021;IEG_2021;IPS_2021;IDA_2021;IPP_2021;IPV_2021;IAN_2021;REC_EQUIPE_1_2021;REC_EQUIPE_2_2021;REC_EQUIPE_3_2021;REC_EQUIPE_4_2021;PONTO_VIRADA_2021;NIVEL_IDEAL_2021;DEFASAGEM_2021;BOLSISTA_2022;FASE_2022;PEDRA_2022;INDE_2022;IAA_2022;IEG_2022;DESTAQUE_IEG_2022;IDA_2022;DESTAQUE_IDA_2022;IPV_2022;DESTAQUE_IPV_2022;IPS_2022;IPP_2022;IAN_2022;CG_2022;CF_2022;CT_2022;NOTA_PORT_2022;NOTA_MAT_2022;NOTA_ING_2022;QTD_AVAL_2022;REC_EQUIPE_1_2022;REC_EQUIPE_2_2022;REC_EQUIPE_3_2022;REC_EQUIPE_4_2022;INDICADO_BOLSA_2022;PONTO_VIRADA_2022;NIVEL_IDEAL_2022
892;2019;Escola Pública;1E;Ametista;7.7;9.5;9.4;Seu destaque em 2020: A sua boa entrega das lições de casa.;6.5;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;7.94;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.;7.29;7.5;5;Não;Escola Pública;1.0;Ametista;7.41;7.0;9.6;5.6;6.9;8.3;7.6;5.0;Promovido de Fase;Mantido na Fase atual;Promovido de Fase;Não avaliado;Não;Nível 3 (7o e 8o ano);-2.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
893;2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Não;2.0;Quartzo;5.61;0.0;7.0;Melhorar: Melhorar a sua entrega de lições de casa.;3.5;Melhorar: Empenhar-se mais nas aulas e avaliações.;5.56;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;7.5;6.46;10.0;773.0;144.0;10.0;7.0;0.0;;3.0;Mantido na Fase atual;Mantido na Fase atual;Mantido na Fase atual;;Não;Não;Fase 2 (5º e 6º ano)
894;2018;Escola Pública;5A;Topázio;8.8;1.0;9.4;Seu destaque em 2020: A sua boa entrega das lições de casa.;8.0;Seu destaque em 2020: As suas boas notas na Passos Mágicos.;8.06;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;8.96;8.13;10;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
895;2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Não;0.0;Ametista;7.94;9.5;9.76;Destaque: A sua boa entrega das lições de casa.;5.67;Melhorar: Empenhar-se mais nas aulas e avaliações.;7.67;Destaque: A sua boa integração aos Princípios Passos Mágicos.;8.13;5.63;10.0;158.0;43.0;3.0;5.0;6.3;;2.0;Mantido na Fase atual;Mantido na Fase atual;;;Não;Não;ALFA  (2º e 3º ano)
896;2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Não;2.0;Ametista;7.2;8.5;9.18;Destaque: A sua boa entrega das lições de casa.;5.83;Melhorar: Empenhar-se mais nas aulas e avaliações.;7.67;Destaque: A sua boa integração aos Princípios Passos Mágicos.;7.5;5.62;5.0;430.0;63.0;4.0;3.3;8.3;;3.0;Promovido de Fase;Promovido de Fase;Mantido na Fase atual;;Não;Não;Fase 3 (7º e 8º ano)
897;;;;;;;;;;;;;;;;;Escola Pública;3.0;Quartzo;5.14;7.9;3.3;6.9;4.3;6.7;4.8;5.0;Mantido na Fase atual;Alocado em Fase anterior;Mantido na Fase atual;Não avaliado;Não;Nível 4 (9o ano);-1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
898;2017;Escola Pública;2M;Ágata;7.11;6.92;7.9;Seu destaque em 2020: A sua boa entrega das lições de casa.;7.5;Seu destaque em 2020: As suas boas notas na Passos Mágicos.;7.92;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.;8.13;4.38;5;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
899;2019;Escola Pública;1D;Ametista;7.81;8.0;9.5;Seu destaque em 2020: A sua boa entrega das lições de casa.;7.5;Seu destaque em 2020: As suas boas notas na Passos Mágicos.;7.75;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.;8.13;7.5;5;Não;Escola Pública;2.0;Ametista;8.09;8.0;7.1;7.5;7.9;7.5;9.0;10.0;Mantido na Fase atual;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Sim;Nível 2 (5o e 6o ano);0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
900;2021;;;;;;;;;;;;;;;;Escola Pública;3.0;Ágata;5.84;7.9;5.6;7.5;5.4;7.3;4.4;5.0;Mantido na Fase atual;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não;Nível 4 (9o ano);-1.0;Não;3.0;Ametista;7.08;7.92;7.31;Melhorar: Melhorar a sua entrega de lições de casa.;6.5;Melhorar: Empenhar-se mais nas aulas e avaliações.;7.54;Destaque: A sua boa integração aos Princípios Passos Mágicos.;7.5;7.66;5.0;462.0;58.0;7.0;6.0;7.2;6.3;4.0;Promovido de Fase;Promovido de Fase;Promovido de Fase;Promovido de Fase;Não;Não;Fase 5 (1º EM)
901;2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Não;1.0;Ágata;6.07;8.5;5.84;Melhorar: Melhorar a sua entrega de lições de casa.;3.75;Melhorar: Empenhar-se mais nas aulas e avaliações.;7.22;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;7.5;6.04;5.0;715.0;171.0;15.0;0.0;7.5;;3.0;Mantido na Fase atual;Mantido na Fase atual;Mantido na Fase atual;;Não;Não;Fase 2 (5º e 6º ano)
902;2019;Escola Pública;0A;Ametista;7.72;9.0;1.0;Seu destaque em 2020: A sua boa entrega das lições de casa.;8.0;Seu destaque em 2020: As suas boas notas na Passos Mágicos.;6.08;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;2.5;7.5;10;Não;Escola Pública;0.0;Ametista;7.27;8.5;10.0;7.5;5.4;7.8;6.6;5.0;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não avaliado;Não;Nível 1 (4o ano);-1.0;Não;0.0;Ametista;7.52;9.5;8.77;Destaque: A sua boa entrega das lições de casa.;7.42;Melhorar: Empenhar-se mais nas aulas e avaliações.;7.75;Destaque: A sua boa integração aos Princípios Passos Mágicos.;7.5;5.31;5.0;302.0;85.0;4.0;8.0;6.8;;2.0;Mantido na Fase atual;Mantido na Fase atual;;;Não;Não;Fase 2 (5º e 6º ano)
