ID_ALUNO;ANO_INGRESSO;IE_2020;FASE_2020;PEDRA_2020;INDE_2020;IAA_2020;IEG_2020;DESTAQUE_IEG_2020;IDA_2020;DESTAQUE_IDA_2020;IPV_2020;DESTAQUE_IPV_2020;IPP_2020;IPS_2020;IAN_2020;PONTO_VIRADA_2020;IE_2021;FASE_2021;PEDRA_2021;INDE_2021;IAA_2021;IEG_2021;IPS_2021;IDA_2021;IPP_2021;IPV_2021;IAN_2021;REC_EQUIPE_1_2021;REC_EQUIPE_2_2021;REC_EQUIPE_3_2021;REC_EQUIPE_4_2021;PONTO_VIRADA_2021;NIVEL_IDEAL_2021;DEFASAGEM_2021;BOLSISTA_2022;FASE_2022;PEDRA_2022;INDE_2022;IAA_2022;IEG_2022;DESTAQUE_IEG_2022;IDA_2022;DESTAQUE_IDA_2022;IPV_2022;DESTAQUE_IPV_2022;IPS_2022;IPP_2022;IAN_2022;CG_2022;CF_2022;CT_2022;NOTA_PORT_2022;NOTA_MAT_2022;NOTA_ING_2022;QTD_AVAL_2022;REC_EQUIPE_1_2022;REC_EQUIPE_2_2022;REC_EQUIPE_3_2022;REC_EQUIPE_4_2022;INDICADO_BOLSA_2022;PONTO_VIRADA_2022;NIVEL_IDEAL_2022
1;2018;Escola Pública;2H;Ametista;7.88;8.5;8.7;Seu destaque em 2020: A sua boa entrega das lições de casa.;7.0;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;7.75;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;5.94;7.5;10;Não;Rede Decisão;2.0;Ametista;7.32;7.5;6.3;6.9;8.8;7.7;8.1;5.0;Promovido de Fase;Promovido de Fase;Mantido na Fase atual;Não avaliado;Não;Nível 3 (7o e 8o ano);-1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Não;0.0;Ametista;7.68;1.0;7.58;Destaque: A sua boa entrega das lições de casa.;8.82;Destaque: As suas boas notas na Passos Mágicos.;7.92;Destaque: A sua boa integração aos Princípios Passos Mágicos.;7.5;5.63;5.0;245.0;66.0;6.0;8.2;9.4;;2.0;Mantido na Fase + Bolsa;Mantido na Fase atual;;;Sim;Não;Fase 2 (5º e 6º ano)
3;2018;Escola Pública;3H;Ametista;7.86;7.92;8.9;Seu destaque em 2020: A sua boa entrega das lições de casa.;5.5;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;8.11;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;8.13;7.5;10;Não;Escola Pública;3.0;Ametista;7.02;7.1;6.9;6.3;5.6;7.3;7.2;10.0;Promovido de Fase;Promovido de Fase;Mantido na Fase atual;Não avaliado;Não;Nível 3 (7o e 8o ano);0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;2022;Escola Pública;1D;Quartzo;5.08;8.0;4.1;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.;0.0;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;7.75;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.;7.19;6.88;5;Não;;;;;;;;;;;;;;;;;;;Não;2.0;Ametista;7.12;1.0;8.07;Destaque: A sua boa entrega das lições de casa.;5.08;Melhorar: Empenhar-se mais nas aulas e avaliações.;8.06;Destaque: A sua boa integração aos Princípios Passos Mágicos.;7.5;6.25;5.0;451.0;69.0;3.0;5.0;5.2;;3.0;Promovido de Fase;Mantido na Fase atual;Promovido de Fase;;Não;Não;Fase 3 (7º e 8º ano)
5;2019;Escola Pública;2M;Ametista;8.08;7.5;8.0;Seu destaque em 2020: A sua boa entrega das lições de casa.;7.5;Seu destaque em 2020: As suas boas notas na Passos Mágicos.;8.17;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;8.44;7.5;10;Não;Escola Pública;2.0;Ametista;7.4;7.4;7.5;7.5;5.4;8.5;7.4;10.0;Promovido de Fase;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não;Nível 2 (5o e 6o ano);0.0;Não;2.0;Ametista;7.23;6.42;8.56;Destaque: A sua boa entrega das lições de casa.;7.08;Melhorar: Empenhar-se mais nas aulas e avaliações.;7.83;Destaque: A sua boa integração aos Princípios Passos Mágicos.;7.5;6.46;5.0;415.0;61.0;12.0;6.7;7.5;;3.0;Mantido na Fase atual;Promovido de Fase;Mantido na Fase atual;;Não;Não;Fase 3 (7º e 8º ano)
6;2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Não;2.0;Ametista;7.74;9.0;9.33;Destaque: A sua boa entrega das lições de casa.;5.5;Melhorar: Empenhar-se mais nas aulas e avaliações.;7.5;Destaque: A sua boa integração aos Princípios Passos Mágicos.;7.5;6.25;10.0;221.0;35.0;2.0;3.0;8.0;;3.0;Mantido na Fase atual;Promovido de Fase;Mantido na Fase atual;;Não;Não;Fase 2 (5º e 6º ano)
7;2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Não;1.0;Ametista;7.41;1.0;9.31;Destaque: A sua boa entrega das lições de casa.;5.58;Melhorar: Empenhar-se mais nas aulas e avaliações.;7.92;Destaque: A sua boa integração aos Princípios Passos Mágicos.;7.5;5.94;5.0;357.0;93.0;7.0;4.7;6.5;;2.0;Promovido de Fase;Promovido de Fase;;;Não;Não;Fase 2 (5º e 6º ano)
8;2017;Rede Decisão/União;4L;Ametista;8.38;8.33;9.9;Seu destaque em 2020: A sua boa entrega das lições de casa.;7.33;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;8.94;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;8.75;4.38;10;Sim;Rede Decisão;5.0;Topázio;8.27;8.8;8.6;7.5;7.1;8.0;8.5;10.0;Promovido de Fase + Bolsa;Promovido de Fase;Promovido de Fase;Mantido na Fase atual;Não;Nível 5 (1o EM);0.0;Sim;5.0;Ametista;7.29;9.17;8.27;Destaque: A sua boa entrega das lições de casa.;7.14;Melhorar: Empenhar-se mais nas aulas e avaliações.;7.63;Destaque: A sua boa integração aos Princípios Passos Mágicos.;5.0;7.66;5.0;397.0;26.0;6.0;6.5;7.7;7.3;4.0;Promovido de Fase + Bolsa;Mantido na Fase atual;Promovido de Fase + Bolsa;Promovido de Fase;Não;Não;Fase 6 (2º EM)
9;2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Não;0.0;Quartzo;5.67;9.0;6.82;Melhorar: Melhorar a sua entrega de lições de casa.;2.13;Melhorar: Empenhar-se mais nas aulas e avaliações.;5.5;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;5.0;3.75;10.0;767.0;184.0;9.0;2.5;1.8;;2.0;Mantido na Fase atual;Mantido na Fase atual;;;Não;Não;ALFA  (2º e 3º ano)
10;2019;Escola Pública;3B;Quartzo;5.16;5.83;5.2;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.;0.0;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;6.83;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;7.97;3.75;10;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;2020;Escola Pública;0A;Topázio;9.71;9.0;1.0;Seu destaque em 2020: A sua boa entrega das lições de casa.;1.0;Seu destaque em 2020: As suas boas notas na Passos Mágicos.;1.0;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;1.0;8.13;10;Sim;Rede Decisão;1.0;Topázio;8.99;9.0;10.0;6.3;8.8;7.7;9.7;10.0;Promovido de Fase;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Sim;Nível 1 (4o ano);0.0;Sim;1.0;Topázio;8.46;8.0;9.2;Destaque: A sua boa entrega das lições de casa.;9.83;Destaque: As suas boas notas na Passos Mágicos.;9.5;Destaque: A sua boa integração aos Princípios Passos Mágicos.;7.5;7.08;5.0;40.0;5.0;1.0;10.0;9.7;;3.0;Promovido de Fase + Bolsa;Promovido de Fase;Promovido de Fase + Bolsa;;Não;Sim;Fase 2 (5º e 6º ano)
12;2017;Rede Decisão/União;3G;Quartzo;5.84;6.25;6.0;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.;6.67;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;5.28;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.;5.62;5.63;5;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;;;;;;;;;;;;;;;;;Escola Pública;0.0;Quartzo;3.41;8.0;0.0;7.5;0.8;0.0;6.0;5.0;Não avaliado;Não avaliado;Não avaliado;Não avaliado;Não;Nível 1 (4o ano);-1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;2018;Escola Pública;2M;Ágata;6.43;8.0;7.6;Seu destaque em 2020: A sua boa entrega das lições de casa.;0.0;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;7.92;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;8.44;6.88;10;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;2019;Escola Pública;2D;Quartzo;5.16;8.5;4.0;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.;0.0;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;7.25;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.;8.13;7.5;5;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Não;1.0;Ágata;7.0;8.5;9.34;Destaque: A sua boa entrega das lições de casa.;6.33;Melhorar: Empenhar-se mais nas aulas e avaliações.;6.72;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;6.88;4.79;5.0;489.0;129.0;9.0;5.5;7.2;;3.0;Mantido na Fase atual;Promovido de Fase;Mantido na Fase atual;;Não;Não;Fase 2 (5º e 6º ano)
17;2018;Escola Pública;1G;Ametista;7.77;9.5;6.8;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.;1.0;Seu destaque em 2020: As suas boas notas na Passos Mágicos.;7.75;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.;6.56;7.5;5;Não;Escola Pública;1.0;Ágata;6.14;9.5;4.2;7.5;2.6;8.4;8.8;5.0;Não avaliado;Mantido na Fase atual;Mantido na Fase + Bolsa;Não avaliado;Não;Nível 3 (7o e 8o ano);-2.0;Não;1.0;Ágata;6.72;9.5;6.65;Melhorar: Melhorar a sua entrega de lições de casa.;5.5;Melhorar: Empenhar-se mais nas aulas e avaliações.;7.5;Destaque: A sua boa integração aos Princípios Passos Mágicos.;7.5;5.94;5.0;580.0;142.0;6.0;4.3;6.7;;2.0;Mantido na Fase atual;Promovido de Fase;;;Não;Não;Fase 3 (7º e 8º ano)
18;2017;Escola Pública;3E;Ágata;7.21;9.58;7.0;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.;6.5;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;7.94;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.;7.08;7.5;5;Não;Escola Pública;4.0;Ágata;5.67;10.0;3.3;6.3;5.3;7.7;5.2;5.0;Mantido na Fase atual;Promovido de Fase + Bolsa;Mantido na Fase atual;Mantido na Fase atual;Não;Nível 5 (1o EM);-1.0;Não;4.0;Quartzo;5.85;0.0;6.29;Melhorar: Melhorar a sua entrega de lições de casa.;5.22;Melhorar: Empenhar-se mais nas aulas e avaliações.;7.25;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;8.13;7.81;5.0;746.0;68.0;7.0;3.0;4.8;7.8;4.0;Promovido de Fase;Mantido na Fase atual;Promovido de Fase;Promovido de Fase + Bolsa;Sim;Não;Fase 6 (2º EM)
19;2021;;;;;;;;;;;;;;;;Escola Pública;2.0;Ágata;6.75;9.0;6.3;7.5;4.6;7.7;8.3;5.0;Mantido na Fase atual;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não;Nível 3 (7o e 8o ano);-1.0;Não;2.0;Ametista;7.84;1.0;9.05;Destaque: A sua boa entrega das lições de casa.;7.47;Melhorar: Empenhar-se mais nas aulas e avaliações.;8.11;Destaque: A sua boa integração aos Princípios Passos Mágicos.;7.5;6.67;5.0;188.0;29.0;2.0;6.8;8.2;;3.0;Promovido de Fase;Promovido de Fase;Mantido na Fase atual;;Não;Não;Fase 3 (7º e 8º ano)
20;2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Não;0.0;Topázio;8.62;1.0;9.55;Destaque: A sua boa entrega das lições de casa.;8.47;Destaque: As suas boas notas na Passos Mágicos.;8.5;Destaque: A sua boa integração aos Princípios Passos Mágicos.;7.5;5.63;10.0;28.0;3.0;1.0;8.8;8.2;;2.0;Promovido de Fase;Mantido na Fase atual;;;Não;Sim;ALFA  (2º e 3º ano)
21;2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Não;3.0;Quartzo;5.65;7.92;5.65;Melhorar: Melhorar a sua entrega de lições de casa.;5.17;Melhorar: Empenhar-se mais nas aulas e avaliações.;6.22;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;5.0;7.03;2.5;771.0;114.0;13.0;5.0;6.2;4.3;3.0;Mantido na Fase atual;Mantido na Fase atual;Promovido de Fase;;Não;Não;Fase 6 (2º EM)
22;2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Não;0.0;Topázio;8.1;8.0;8.98;Destaque: A sua boa entrega das lições de casa.;9.25;Destaque: As suas boas notas na Passos Mágicos.;7.17;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;7.5;4.69;10.0;116.0;32.0;7.0;9.5;9.0;;2.0;Promovido de Fase;Mantido na Fase atual;;;Não;Não;ALFA  (2º e 3º ano)
23;2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Não;1.0;Ametista;7.78;8.0;7.8;Destaque: A sua boa entrega das lições de casa.;9.25;Destaque: As suas boas notas na Passos Mágicos.;8.33;Destaque: A sua boa integração aos Princípios Passos Mágicos.;7.5;6.56;5.0;208.0;51.0;3.0;9.5;9.0;;2.0;Promovido de Fase;Promovido de Fase;;;Não;Não;Fase 2 (5º e 6º ano)
24;2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Não;2.0;Topázio;8.27;1.0;9.32;Destaque: A sua boa entrega das lições de casa.;6.75;Melhorar: Empenhar-se mais nas aulas e avaliações.;8.61;Destaque: A sua boa integração aos Princípios Passos Mágicos.;6.88;6.46;10.0;66.0;6.0;1.0;6.3;7.2;;3.0;Mantido na Fase + Bolsa;Mantido na Fase atual;Mantido na Fase atual;;Sim;Sim;Fase 2 (5º e 6º ano)
25;2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Não;0.0;Ametista;7.95;7.5;8.35;Destaque: A sua boa entrega das lições de casa.;9.1;Destaque: As suas boas notas na Passos Mágicos.;8.25;Destaque: A sua boa integração aos Princípios Passos Mágicos.;7.5;3.13;10.0;154.0;42.0;3.0;9.1;9.1;;2.0;Promovido de Fase;Mantido na Fase atual;;;Não;Não;ALFA  (2º e 3º ano)
26;2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Não;0.0;Ametista;7.74;9.0;8.72;Destaque: A sua boa entrega das lições de casa.;9.17;Destaque: As suas boas notas na Passos Mágicos.;7.08;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;7.5;5.94;5.0;224.0;60.0;2.0;9.2;9.2;;2.0;Promovido de Fase;Mantido na Fase atual;;;Não;Não;Fase 1 (4º ano)
27;2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Não;2.0;Ágata;6.35;9.0;6.49;Melhorar: Melhorar a sua entrega de lições de casa.;4.58;Melhorar: Empenhar-se mais nas aulas e avaliações.;7.11;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;7.5;5.63;5.0;668.0;122.0;9.0;2.3;6.8;;3.0;Mantido na Fase atual;Mantido na Fase atual;Mantido na Fase atual;;Não;Não;Fase 4 (9º ano)
28;2018;Rede Decisão/União;3J;Topázio;9.35;9.58;9.6;Seu destaque em 2020: A sua boa entrega das lições de casa.;9.0;Seu destaque em 2020: As suas boas notas na Passos Mágicos.;9.94;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;1.0;6.88;10;Sim;Rede Decisão;4.0;Topázio;9.08;8.3;9.2;7.5;8.8;9.4;9.9;10.0;Promovido de Fase + Bolsa;Promovido de Fase + Bolsa;Promovido de Fase + Bolsa;Promovido de Fase;Sim;Nível 4 (9o ano);0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29;2021;;;;;;;;;;;;;;;;Escola Pública;3.0;Ágata;6.34;9.6;5.3;7.5;3.8;7.5;7.9;5.0;Promovido de Fase;Promovido de Fase;Mantido na Fase atual;Não avaliado;Não;Nível 5 (1o EM);-2.0;Não;3.0;Quartzo;4.94;0.0;4.83;Melhorar: Melhorar a sua entrega de lições de casa.;5.78;Melhorar: Empenhar-se mais nas aulas e avaliações.;5.71;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;7.5;6.72;2.5;827.0;129.0;5.0;5.3;4.0;8.0;4.0;Promovido de Fase;Mantido na Fase atual;Promovido de Fase;Mantido na Fase atual;Não;Não;Fase 6 (2º EM)
30;2022;Escola Pública;0C;Ágata;7.13;7.92;1.0;Seu destaque em 2020: A sua boa entrega das lições de casa.;4.75;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;6.92;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;2.5;7.5;10;Não;;;;;;;;;;;;;;;;;;;Não;0.0;Topázio;8.08;1.0;9.01;Destaque: A sua boa entrega das lições de casa.;9.1;Destaque: As suas boas notas na Passos Mágicos.;8.25;Destaque: A sua boa integração aos Princípios Passos Mágicos.;7.5;5.63;5.0;122.0;34.0;5.0;9.6;8.6;;2.0;Promovido de Fase + Bolsa;Mantido na Fase atual;;;Sim;Não;Fase 1 (4º ano)
31;2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Não;0.0;Ametista;7.26;6.92;7.32;Melhorar: Melhorar a sua entrega de lições de casa.;7.47;Melhorar: Empenhar-se mais nas aulas e avaliações.;6.67;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;7.5;5.31;10.0;408.0;119.0;6.0;7.6;7.3;;2.0;Mantido na Fase atual;Mantido na Fase atual;;;Não;Não;ALFA  (2º e 3º ano)
32;2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Não;7.0;Ágata;6.79;7.92;8.33;Destaque: A sua boa entrega das lições de casa.;4.0;Melhorar: Empenhar-se mais nas aulas e avaliações.;7.75;Destaque: A sua boa integração aos Princípios Passos Mágicos.;7.5;7.34;5.0;558.0;12.0;7.0;8.0;0.0;;4.0;Promovido de Fase + Bolsa;Mantido na Fase atual;Mantido na Fase atual;Mantido na Fase atual;Sim;Não;Fase 8 (Universitários)
33;2020;Escola Pública;3E;Ágata;7.01;6.67;4.5;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.;8.67;Seu destaque em 2020: As suas boas notas na Passos Mágicos.;6.28;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;7.08;7.5;10;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
34;2018;Escola Pública;2C;Ametista;7.7;8.5;9.3;Seu destaque em 2020: A sua boa entrega das lições de casa.;7.0;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;7.94;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.;8.13;6.88;5;Não;Escola Pública;2.0;Ágata;6.13;6.9;2.9;7.5;5.5;7.7;8.7;5.0;Promovido de Fase;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não;Nível 3 (7o e 8o ano);-1.0;Não;3.0;Ágata;6.67;7.5;7.06;Melhorar: Melhorar a sua entrega de lições de casa.;6.11;Melhorar: Empenhar-se mais nas aulas e avaliações.;6.42;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;7.5;7.5;5.0;599.0;78.0;4.0;5.0;7.5;5.8;4.0;Promovido de Fase;Promovido de Fase;Promovido de Fase;Mantido na Fase atual;Não;Não;Fase 4 (9º ano)
35;2017;Escola Pública;7B;Ágata;6.64;8.75;6.1;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.;5.0;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;8.29;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.;7.66;6.25;5;Não;Escola Pública;7.0;Topázio;8.42;9.2;9.4;7.5;8.2;8.4;9.4;5.0;Promovido de Fase + Bolsa;Promovido de Fase + Bolsa;Promovido de Fase + Bolsa;Promovido de Fase + Bolsa;Sim;Nível 8 (Universitários);-1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
36;2019;Escola Pública;3C;Ametista;8.31;9.58;9.9;Seu destaque em 2020: A sua boa entrega das lições de casa.;8.0;Seu destaque em 2020: As suas boas notas na Passos Mágicos.;8.22;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.;8.75;7.5;5;Não;Escola Pública;3.0;Ágata;6.25;8.3;6.4;3.8;4.7;7.3;7.9;5.0;Promovido de Fase;Promovido de Fase;Mantido na Fase atual;Não avaliado;Não;Nível 5 (1o EM);-2.0;Não;4.0;Ágata;6.85;5.83;8.07;Destaque: A sua boa entrega das lições de casa.;5.88;Melhorar: Empenhar-se mais nas aulas e avaliações.;7.79;Destaque: A sua boa integração aos Princípios Passos Mágicos.;6.25;7.97;5.0;538.0;46.0;8.0;5.0;7.2;5.5;4.0;Promovido de Fase;Mantido na Fase atual;Promovido de Fase;Promovido de Fase + Bolsa;Sim;Não;Fase 6 (2º EM)
37;2018;Escola Pública;2N;Ágata;6.68;1.0;7.7;Seu destaque em 2020: A sua boa entrega das lições de casa.;2.5;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;7.78;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;6.46;4.38;10;Não;Escola Pública;2.0;Ágata;6.15;0.0;5.4;6.9;6.5;7.5;6.7;10.0;Mantido na Fase atual;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não;Nível 2 (5o e 6o ano);0.0;Não;2.0;Ametista;7.56;8.5;9.04;Destaque: A sua boa entrega das lições de casa.;7.33;Melhorar: Empenhar-se mais nas aulas e avaliações.;7.78;Destaque: A sua boa integração aos Princípios Passos Mágicos.;7.5;6.25;5.0;292.0;45.0;8.0;6.5;8.2;;3.0;Mantido na Fase atual;Promovido de Fase;Mantido na Fase atual;;Não;Não;Fase 3 (7º e 8º ano)
38;2021;;;;;;;;;;;;;;;;Escola Pública;3.0;Ágata;6.85;3.8;6.9;7.5;5.1;7.5;7.8;10.0;Mantido na Fase atual;Promovido de Fase;Mantido na Fase atual;Não avaliado;Não;Nível 3 (7o e 8o ano);0.0;Não;3.0;Ágata;6.7;9.17;6.72;Melhorar: Melhorar a sua entrega de lições de casa.;5.67;Melhorar: Empenhar-se mais nas aulas e avaliações.;7.21;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;6.25;7.34;5.0;590.0;77.0;11.0;7.0;6.8;3.2;4.0;Promovido de Fase;Mantido na Fase atual;Promovido de Fase;Mantido na Fase + Bolsa;Sim;Não;Fase 4 (9º ano)
39;2017;Escola Pública;3F;Ametista;8.13;6.25;9.4;Seu destaque em 2020: A sua boa entrega das lições de casa.;8.33;Seu destaque em 2020: As suas boas notas na Passos Mágicos.;6.78;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;8.54;7.5;10;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40;;;;;;;;;;;;;;;;;Escola Pública;5.0;Ametista;7.33;9.2;7.8;7.5;6.0;8.3;8.0;5.0;Promovido de Fase + Bolsa;Mantido na Fase atual;Promovido de Fase + Bolsa;Mantido na Fase atual;Não;Nível 6 (2o EM);-1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
41;2020;Escola Pública;1D;Ametista;7.46;8.0;8.3;Seu destaque em 2020: A sua boa entrega das lições de casa.;7.25;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;7.75;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.;7.5;7.5;5;Não;Escola Pública;2.0;Ágata;6.1;0.0;5.0;7.5;6.8;7.5;8.8;5.0;Promovido de Fase;Promovido de Fase;Promovido de Fase;Não avaliado;Não;Nível 3 (7o e 8o ano);-1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
42;2021;;;;;;;;;;;;;;;;Escola Pública;0.0;Ágata;6.8;10.0;6.7;7.5;4.0;7.2;6.0;10.0;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não avaliado;Não;ALFA  (2o e 3o ano);0.0;Não;0.0;Quartzo;4.28;9.0;3.15;Melhorar: Melhorar a sua entrega de lições de casa.;2.5;Melhorar: Empenhar-se mais nas aulas e avaliações.;2.5;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;7.5;0.0;10.0;849.0;189.0;5.0;2.2;2.8;;2.0;Não avaliado;Não avaliado;;;Não;Não;ALFA  (2º e 3º ano)
43;2018;Escola Pública;4F;Ametista;7.81;7.5;7.5;Seu destaque em 2020: A sua boa entrega das lições de casa.;7.0;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;8.04;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;7.97;7.5;10;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
44;2020;Escola Pública;1M;Ágata;6.22;9.0;6.8;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.;0.0;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;7.92;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;6.25;7.5;10;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45;2022;Escola Pública;1G;Ágata;6.63;8.5;1.0;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.;1.0;Seu destaque em 2020: As suas boas notas na Passos Mágicos.;7.75;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.;7.81;7.5;5;Não;;;;;;;;;;;;;;;;;;;Não;2.0;Ágata;6.73;7.92;9.17;Destaque: A sua boa entrega das lições de casa.;5.0;Melhorar: Empenhar-se mais nas aulas e avaliações.;6.78;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;6.25;6.25;5.0;576.0;93.0;16.0;4.0;6.0;;3.0;Mantido na Fase atual;Mantido na Fase atual;Mantido na Fase atual;;Não;Não;Fase 3 (7º e 8º ano)
